ROW #,NAME OF THE EXAM CENTRE,DISTRICT,GENERATED MAP LINK
15,MIC ISLAMIC AND ARTS COLLEGE KAIPAMANGALAM,TRISSUR,https://www.google.com/maps/search/?api=1&query=MIC%20ISLAMIC%20AND%20ARTS%20COLLEGE%20KAIPAMANGALAM%20TRISSUR
16,NOORUL HUDA EDUCATION CENTER CHERUTHURUTHY THRISSUR,TRISSUR,https://www.google.com/maps/search/?api=1&query=NOORUL%20HUDA%20EDUCATION%20CENTER%20CHERUTHURUTHY%20THRISSUR%20TRISSUR
17,"MARKAZ ISLAMIC AND ARTS VANITHA COLLEGE CHANGAMPUZHA NAGAR ERNAKULAM (SHE PLUS ONLY)
UMMUL QURA ISLAMIC AND ARTS COLLEGE FOR WOMEN KALOOR ( SHE ONLY)",ERNAKULAM,https://www.google.com/maps/search/?api=1&query=MARKAZ%20ISLAMIC%20AND%20ARTS%20VANITHA%20COLLEGE%20CHANGAMPUZHA%20NAGAR%20ERNAKULAM%20(SHE%20PLUS%20ONLY)%0AUMMUL%20QURA%20ISLAMIC%20AND%20ARTS%20COLLEGE%20FOR%20WOMEN%20KALOOR%20(%20SHE%20ONLY)%20ERNAKULAM
18,NAFEESATHUL MISRIYA COLLEGE MANNAR,ALAPPEY,https://www.google.com/maps/search/?api=1&query=NAFEESATHUL%20MISRIYA%20COLLEGE%20MANNAR%20ALAPPEY
19,LAJNATHUL MUHAMMADIYYA HS SCHOOL ZAKARIYA BAZAR ALAPPUZHA,ALAPPEY,https://www.google.com/maps/search/?api=1&query=LAJNATHUL%20MUHAMMADIYYA%20HS%20SCHOOL%20ZAKARIYA%20BAZAR%20ALAPPUZHA%20ALAPPEY
20,ISRA COLLEGE ADMIMALI,IDUKKY,https://www.google.com/maps/search/?api=1&query=ISRA%20COLLEGE%20ADMIMALI%20IDUKKY
21,SAMASTHA MAHAL KANNANALLUR,QUILON,https://www.google.com/maps/search/?api=1&query=SAMASTHA%20MAHAL%20KANNANALLUR%20QUILON
22,"SAMASTHA JUBILEE BUILDING, THAMPANOOR",TRIVANDRUM,https://www.google.com/maps/search/?api=1&query=SAMASTHA%20JUBILEE%20BUILDING%2C%20THAMPANOOR%20TRIVANDRUM
23,"MADHRASA DHARUSSALM, MAKKAPPALAYAM, THUCKALAY- KANYAKUMARI",TAMIL NADU,https://www.google.com/maps/search/?api=1&query=MADHRASA%20DHARUSSALM%2C%20MAKKAPPALAYAM%2C%20THUCKALAY-%20KANYAKUMARI%20TAMIL%20NADU
24,MAUDANUL ULOOM GUDALLUR TOWN MADRASA,TAMIL NADU,https://www.google.com/maps/search/?api=1&query=MAUDANUL%20ULOOM%20GUDALLUR%20TOWN%20MADRASA%20TAMIL%20NADU
25,WADI THWAIBA KINYA,KARNATAKA,https://www.google.com/maps/search/?api=1&query=WADI%20THWAIBA%20KINYA%20KARNATAKA
26,,KARNATAKA,
27,,KARNATAKA,
28,THEKK THANVEERUL ISLAM MADRASA AGATTI,LAKSHADWEEP,https://www.google.com/maps/search/?api=1&query=THEKK%20THANVEERUL%20ISLAM%20MADRASA%20AGATTI%20LAKSHADWEEP
29,MA'ADANUL ULOOM MADRASA KADAMATH,LAKSHADWEEP,https://www.google.com/maps/search/?api=1&query=MA'ADANUL%20ULOOM%20MADRASA%20KADAMATH%20LAKSHADWEEP
30,SHAMSUL ULAMA ISLAMIC CENTRE ANTHROTH,LAKSHADWEEP,https://www.google.com/maps/search/?api=1&query=SHAMSUL%20ULAMA%20ISLAMIC%20CENTRE%20ANTHROTH%20LAKSHADWEEP
31,NOORUL HUDA HIGHER SECONDARY MADRASA KALPENI,LAKSHADWEEP,https://www.google.com/maps/search/?api=1&query=NOORUL%20HUDA%20HIGHER%20SECONDARY%20MADRASA%20KALPENI%20LAKSHADWEEP
32,SKSSF OFFICE KILTHAN,LAKSHADWEEP,https://www.google.com/maps/search/?api=1&query=SKSSF%20OFFICE%20KILTHAN%20LAKSHADWEEP
33,SIDDIQ MAULA ARAB COLLEGE AMINI,LAKSHADWEEP,https://www.google.com/maps/search/?api=1&query=SIDDIQ%20MAULA%20ARAB%20COLLEGE%20AMINI%20LAKSHADWEEP
34,SAYED MUHAMMED ALI SHIHAB THANGAL SMARAKA SOUDHAM (SKSSF OFFICE) CHETHLATH,LAKSHADWEEP,https://www.google.com/maps/search/?api=1&query=SAYED%20MUHAMMED%20ALI%20SHIHAB%20THANGAL%20SMARAKA%20SOUDHAM%20(SKSSF%20OFFICE)%20CHETHLATH%20LAKSHADWEEP
35,SHAMSUL ULAMA ISLAMIC CENTRE (SKSSF OFFICE) KAVARATHY,LAKSHADWEEP,https://www.google.com/maps/search/?api=1&query=SHAMSUL%20ULAMA%20ISLAMIC%20CENTRE%20(SKSSF%20OFFICE)%20KAVARATHY%20LAKSHADWEEP
36,"SAMASTHALAYAM- ANDAMAN, STEWART GUNJ, SOUTH ANDAMAN",ANADAMAN &NICOBAR,https://www.google.com/maps/search/?api=1&query=SAMASTHALAYAM-%20ANDAMAN%2C%20STEWART%20GUNJ%2C%20SOUTH%20ANDAMAN%20ANADAMAN%20%26NICOBAR
37,"SUNNI CENTRE DUBAI AL WUHEIDA, DEIRA, DUBAI",UAE,https://www.google.com/maps/search/?api=1&query=SUNNI%20CENTRE%20DUBAI%20AL%20WUHEIDA%2C%20DEIRA%2C%20DUBAI%20UAE
38,SSC CULTURAL INSTITUTE NAJDA STREET ABUDHABI,UAE,https://www.google.com/maps/search/?api=1&query=SSC%20CULTURAL%20INSTITUTE%20NAJDA%20STREET%20ABUDHABI%20UAE
39,UMMUL QURA PROFESSIONAL INSTITUTE AL JAZZATH AREA SHARJAH,UAE,https://www.google.com/maps/search/?api=1&query=UMMUL%20QURA%20PROFESSIONAL%20INSTITUTE%20AL%20JAZZATH%20AREA%20SHARJAH%20UAE
40,"SAMASTHA ISLAMIC CENTRE, JEDDAH",SAUDI ARABIA,https://www.google.com/maps/search/?api=1&query=SAMASTHA%20ISLAMIC%20CENTRE%2C%20JEDDAH%20SAUDI%20ARABIA
41,"SAMASTHA ISLAMIC CENTRE, RIYADH",SAUDI ARABIA,https://www.google.com/maps/search/?api=1&query=SAMASTHA%20ISLAMIC%20CENTRE%2C%20RIYADH%20SAUDI%20ARABIA
42,"SAMASTHA ISLAMIC CENTRE, DAMMAM",SAUDI ARABIA,https://www.google.com/maps/search/?api=1&query=SAMASTHA%20ISLAMIC%20CENTRE%2C%20DAMMAM%20SAUDI%20ARABIA
43,AL NABIT GLOBAL EDUCATION CENTRE DOHA,QATAR,https://www.google.com/maps/search/?api=1&query=AL%20NABIT%20GLOBAL%20EDUCATION%20CENTRE%20DOHA%20QATAR
44,SAMASTHA BAHRAIN MANAMA CENTRE,BAHRAIN,https://www.google.com/maps/search/?api=1&query=SAMASTHA%20BAHRAIN%20MANAMA%20CENTRE%20BAHRAIN
45,MUSCAT SUNNNI CENTRE,OMAN,https://www.google.com/maps/search/?api=1&query=MUSCAT%20SUNNNI%20CENTRE%20OMAN
46,DARU THARBIYA MADRSA ABBASIYA,KUWAIT,https://www.google.com/maps/search/?api=1&query=DARU%20THARBIYA%20MADRSA%20ABBASIYA%20KUWAIT
