id,center_name,district,taluk_or_city,address,latitude,longitude,contact_person,phone_number,map_link,status
BOY-12,ORPHANAGE HIGHER SECONDARY SCHOOL VALLAPUZHA,PALAKKAD,,,10.7873692,76.4742172,JAMALUDHEEN,9895667953,https://maps.app.goo.gl/4jEgfTSt3wf8HS3w7,TRUE
BOY-13,"SHARAFUL ISLAM MADRASA KOTTOPADAM, MANNARKKAD",PALAKKAD,,,10.7867,76.6548,SUHAIL RAHMANI,9847451071,https://maps.app.goo.gl/BFc9FWcaRMsoRkta7,TRUE
BOY-14,MIC ISLAMIC AND ARTS COLLEGE KAIPAMANGALAM,THRISSUR,,,10.4138596,76.1576128,RIYAS HUDAWI,8129568629,https://maps.app.goo.gl/2mgxAY4UTwYQkAkj8,TRUE
BOY-15,NOORUL HUDA EDUCATION CENTER CHERUTHURUTHY THRISSUR,THRISSUR,,,10.5276,76.2144,ASHKAR ALI ANWARY,9147962711,https://maps.app.goo.gl/oY34CTmV4RzYoctB7,TRUE
BOY-16,MARKAZ ISLAMIC & ARTS COLLEGE KALAMASSERY,ERNAKULAM,,,10.0383947,76.5074145,ANAS KAVILUMPARA,,https://maps.app.goo.gl/unTHsZhZ1d6UaEXw8,TRUE
BOY-17,SHAMSUL ULAMA ISLAMIC AND ARTS COLLEGE  PATHIYANKARA THRIKKUNNAPPUZHA,ALAPPUZHA,,,9.4981214,76.3406893,JOUHAR VENGAPPALLY,9656347325,https://maps.app.goo.gl/7UERsfNhuys3FTWa6,TRUE
BOY-18,LAJNATHUL MUHAMMADIYYA HS SCHOOL ZAKARIYA BAZAR ALAPPUZHA,ALAPPUZHA,,,9.4981,76.3388,MUBASH,7012233890,https://maps.app.goo.gl/BsCPvXVPrW4rhVR2A,TRUE
BOY-19,ISRA COLLEGE ADMIMALI,IDUKKY,,,,,ASLAM SANAE ERNAKULAM,77364 88561,https://maps.app.goo.gl/TtquVKogddVM6aZ17,TRUE
BOY-20,SAMASTHA MAHAL KANNANALLUR,KOLLAM,,,8.8870533,76.5906696,MUHAMMED ALI MUSLIYAR,8606191775,https://maps.app.goo.gl/CfS4LYH3Jx5KApCF7,TRUE
BOY-21,"SAMASTHA JUBILEE BUILDING, THAMPANOOR",TRIVANDRUM,,,8.4882267,76.947551,KABEER YAMANI,,https://maps.app.goo.gl/PJPimfomqvCf95tb9,TRUE
BOY-22,"MADHRASA DHARUSSALM, MAKKAPPALAYAM, THUCKALAY- KANYAKUMARI",TAMIL NADU,,,8.3056,77.4175,SALMAN FARISI,93870 43797,https://maps.app.goo.gl/XzwLE4fQq65tmL5JA,TRUE
BOY-23,MAUDANUL ULOOM GUDALLUR TOWN MADRASA,TAMIL NADU,,,,,RASHID RAHMANI MH,83018 18774,https://maps.app.goo.gl/N2nrAhHGqckjTyjb9,TRUE
BOY-24,KIC KUMBRA,KARNATAKA,,,15.3173,75.7139,SIRAJ,9141162549,https://maps.app.goo.gl/jSvYagfeFqGRvMg68,TRUE
BOY-25,"Mountain View School, Salmara Puttur",KARNATAKA,,,15.3173,75.7139,SWABIR FAIZY,93803 93794,https://share.google/K77Lc9SDZfBczlMP7,TRUE
BOY-26,SHAMSUL ULAMA DARUSSALAM ACADEMY WADITHWAIBA KINYA,KARNATAKA,,,15.3173,75.7139,HASHIM RAHMANI SALMARA,94812 49748,https://maps.app.goo.gl/uxqpn93PQCxa52my8,TRUE
BOY-27,THEKK THANVEERUL ISLAM MADRASA AGATTI,LAKSHADWEEP,,,10.3337313,72.9205386,GAFOOR MASTER,,https://www.google.com/maps/search/?api=1&query=THEKK%20THANVEERUL%20ISLAM%20MADRASA%20AGATTI%20LAKSHADWEEP,TRUE
BOY-28,MA'ADANUL ULOOM MADRASA KADAMATH,LAKSHADWEEP,,,11.2167,72.7833,LATHEEF TP,,https://www.google.com/maps/search/?api=1&query=MA'ADANUL%20ULOOM%20MADRASA%20KADAMATH%20LAKSHADWEEP,TRUE
BOY-29,SHAMSUL ULAMA ISLAMIC CENTRE ANTHROTH,LAKSHADWEEP,,,10.7833,72.7167,SALEEM JISTHI,,https://www.google.com/maps/search/?api=1&query=SHAMSUL%20ULAMA%20ISLAMIC%20CENTRE%20ANTHROTH%20LAKSHADWEEP,TRUE
BOY-30,NOORUL HUDA HIGHER SECONDARY MADRASA KALPENI,LAKSHADWEEP,,,10.0833,73.6333,NAVEED UP,,https://www.google.com/maps/search/?api=1&query=NOORUL%20HUDA%20HIGHER%20SECONDARY%20MADRASA%20KALPENI%20LAKSHADWEEP,TRUE
BOY-31,SKSSF OFFICE KILTHAN,LAKSHADWEEP,,,11.4833,72.9333,ALIYAR KUNHI PP,,https://www.google.com/maps/search/?api=1&query=SKSSF%20OFFICE%20KILTHAN%20LAKSHADWEEP,TRUE
BOY-32,SIDDIQ MAULA ARAB COLLEGE AMINI,LAKSHADWEEP,,,10.5667,72.6417,SADIQ ALI CHP,,https://www.google.com/maps/search/?api=1&query=SIDDIQ%20MAULA%20ARAB%20COLLEGE%20AMINI%20LAKSHADWEEP,TRUE
BOY-33,SAYED MUHAMMED ALI SHIHAB THANGAL SMARAKA SOUDHAM (SKSSF OFFICE) CHETHLATH,LAKSHADWEEP,,,10.5667,72.6417,MUHSIN,,https://www.google.com/maps/search/?api=1&query=SAYED%20MUHAMMED%20ALI%20SHIHAB%20THANGAL%20SMARAKA%20SOUDHAM%20(SKSSF%20OFFICE)%20CHETHLATH%20LAKSHADWEEP,TRUE
BOY-34,SHAMSUL ULAMA ISLAMIC CENTRE (SKSSF OFFICE) KAVARATHY,LAKSHADWEEP,,,10.5667,72.6417,JAFER SADIQUE K,,https://www.google.com/maps/search/?api=1&query=SHAMSUL%20ULAMA%20ISLAMIC%20CENTRE%20(SKSSF%20OFFICE)%20KAVARATHY%20LAKSHADWEEP,TRUE
BOY-35,"SAMASTHALAYAM- ANDAMAN, STEWART GUNJ, SOUTH ANDAMAN",ANADAMAN &NICOBAR,,,,,YUSUF QASIMI,,https://www.google.com/maps/search/?api=1&query=SAMASTHALAYAM-%20ANDAMAN%2C%20STEWART%20GUNJ%2C%20SOUTH%20ANDAMAN%20ANADAMAN%20%26NICOBAR,TRUE
BOY-36,"SUNNI CENTRE DUBAI AL WUHEIDA, DEIRA, DUBAI",UAE,,,,,M ABDUL SALAM RAHMANI,0562694063,https://www.google.com/maps/search/?api=1&query=SUNNI%20CENTRE%20DUBAI%20AL%20WUHEIDA%2C%20DEIRA%2C%20DUBAI%20UAE,TRUE
BOY-37,SSC CULTURAL INSTITUTE NAJDA STREET ABUDHABI,UAE,,,,,UMARUL FAROOQ DARIMY,+971506402600,https://www.google.com/maps/search/?api=1&query=SSC%20CULTURAL%20INSTITUTE%20NAJDA%20STREET%20ABUDHABI%20UAE,TRUE
BOY-38,UMMUL QURA PROFESSIONAL INSTITUTE AL JAZZATH AREA SHARJAH,UAE,,,,,SAFEER JARAMKANDY W +919961955410,0551031859,https://www.google.com/maps/search/?api=1&query=UMMUL%20QURA%20PROFESSIONAL%20INSTITUTE%20AL%20JAZZATH%20AREA%20SHARJAH%20UAE,TRUE
BOY-39,"SAMASTHA ISLAMIC CENTRE, JEDDAH",SAUDI ARABIA,,,,,SALMANUL FARIS DARIMY,966536696004,https://www.google.com/maps/search/?api=1&query=SAMASTHA%20ISLAMIC%20CENTRE%2C%20JEDDAH%20SAUDI%20ARABIA,TRUE
BOY-40,"SAMASTHA ISLAMIC CENTRE, RIYADH",SAUDI ARABIA,,,,,BASHEER FAIZY,966557057028,https://www.google.com/maps/search/?api=1&query=SAMASTHA%20ISLAMIC%20CENTRE%2C%20RIYADH%20SAUDI%20ARABIA,TRUE
BOY-41,"SAMASTHA ISLAMIC CENTRE, DAMMAM",SAUDI ARABIA,,,,,MAJEED MASTER,966502321417,https://www.google.com/maps/search/?api=1&query=SAMASTHA%20ISLAMIC%20CENTRE%2C%20DAMMAM%20SAUDI%20ARABIA,TRUE
BOY-42,AL NABIT GLOBAL EDUCATION CENTRE DOHA,QATAR,,,,,SHAMEEM NIZAMI,+97455622742,https://www.google.com/maps/search/?api=1&query=AL%20NABIT%20GLOBAL%20EDUCATION%20CENTRE%20DOHA%20QATAR,TRUE
BOY-43,SAMASTHA BAHRAIN MANAMA CENTRE,BAHRAIN,,,,,HAFIZ SHARAFUDHEEN,973 3433 2269,https://www.google.com/maps/search/?api=1&query=SAMASTHA%20BAHRAIN%20MANAMA%20CENTRE%20BAHRAIN,TRUE
BOY-44,MUSCAT SUNNNI CENTRE,OMAN,,,,,MUHAMMED ALI FAIZY,968 9300 6210,https://www.google.com/maps/search/?api=1&query=MUSCAT%20SUNNNI%20CENTRE%20OMAN,TRUE
BOY-45,DARU THARBIYA MADRSA ABBASIYA,KUWAIT,,,,,SHIHAB MASTER NILGIRI,96596913818,https://www.google.com/maps/search/?api=1&query=DARU%20THARBIYA%20MADRSA%20ABBASIYA%20KUWAIT,TRUE
